player_id,long_name,short_name,overall,club_name,player_positions,club_position,nationality_name
239837,Alexis Mac Allister,A. Mac Allister,87,Liverpool,"CM, CDM",LDM,Argentina
231866,Rodrigo Hernández Cascante,Rodri,90,Manchester City,"CDM, CM",CDM,Spain
212198,Bruno Miguel Borges Fernandes,Bruno Fernandes,87,Manchester United,"CAM, CM",LCM,Portugal
241096,Sandro Tonali,S. Tonali,86,Newcastle United,"CDM, CM",CDM,Italy
209331,Mohamed Salah Hamed Ghalyمحمد صلاح,M. Salah,91,Liverpool,"RM, RW",RM,Egypt
234378,Declan Rice,D. Rice,87,Arsenal,"CDM, CM",LCM,England
240638,Tijjani Martinus Jan Reijnders Lekatompessy,T. Reijnders,86,Manchester City,"CM, CDM, CAM",LCM,Netherlands
236772,Dominik Szoboszlai,D. Szoboszlai,83,Liverpool,"CAM, CM",SUB,Hungary
246669,Bukayo Saka,B. Saka,88,Arsenal,"RW, RM",RW,England
247851,Bruno Guimarães Rodrigues Moura,Bruno Guimarães,86,Newcastle United,"CM, CDM",RCM,Brazil
246104,Ryan Jiro Gravenberch,R. Gravenberch,85,Liverpool,"CDM, CM",RDM,Netherlands
238074,Reece James,R. James,81,Chelsea,RB,RB,England
225193,Mikel Merino Zazón,Mikel Merino,83,Arsenal,"CM, ST",SUB,Spain
247090,Enzo Jeremías Fernández,E. Fernández,84,Chelsea,"CM, CDM, CAM",LDM,Argentina
243576,Pedro Antonio Porro Sauceda,Pedro Porro,82,Tottenham Hotspur,"RB, RM",RB,Spain
222665,Martin Ødegaard,M. Ødegaard,87,Arsenal,"CM, CAM",RCM,Norway
210881,John McGinn,J. McGinn,81,Aston Villa,"LM, RM, CAM, LB",RM,Scotland
223334,Joelinton Cassio Apolinário de Lira,Joelinton,82,Newcastle United,"CM, LW, LM",LCM,Brazil
243014,Bryan Tetsadong Marceau Mbeumo,B. Mbeumo,85,Manchester United,"RW, RM, ST",RW,Cameroon
216393,Youri Tielemans,Y. Tielemans,85,Aston Villa,"CM, CDM, CAM",CAM,Belgium
239231,Marc Cucurella Saseta,Marc Cucurella,84,Chelsea,LB,LB,Spain
247394,Dejan KulusevskiДејан Кулушевски,D. Kulusevski,83,Tottenham Hotspur,"CM, RW, CAM",RES,Sweden
218667,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,84,Manchester City,"CM, RM, CDM, CAM",RCM,Portugal
256630,Florian Richard Wirtz,F. Wirtz,89,Liverpool,"CAM, ST, CM",CAM,Germany
251479,Maxim De Cuyper,M. De Cuyper,80,Brighton & Hove Albion,"LB, RB, LM",LB,Belgium
236499,Douglas Luiz Soares de Paulo,Douglas Luiz,80,Nottingham Forest,"CM, CDM",SUB,Brazil
256079,Moisés Isaac Caicedo Corozo,M. Caicedo,87,Chelsea,"CDM, CM",RDM,Ecuador
251517,Joško Gvardiol,J. Gvardiol,84,Manchester City,"LB, CB, LM",LCB,Croatia
186345,Kieran John Trippier,K. Trippier,80,Newcastle United,"RB, RM",RB,England
233927,Lucas Tolentino Coelho de Lima,Lucas Paquetá,80,West Ham United,"CM, LM, CAM",CAM,Brazil
239085,Erling Braut Håland,E. Haaland,90,Manchester City,ST,ST,Norway
254243,Elliot Junior Anderson,E. Anderson,80,Nottingham Forest,"CDM, CM",LDM,England
